ukulalela,listen
-ncane,little
ukuphila,live
isinkwa,loaf
ukuboleka,loan
indawo,location
ukukhiya,lock
eLandani,London
"-de, de",long
ukubukela,look
ukubukela,look at
ubaba,lord
-bukekayo,lovely
inhlanhla,luck
isiqhephu,lump
idina,lunch
umshini,machine
inkosikazi,madam
iliphephandaba,magazine
iliposi,mail
ukuenza,make
ukusebenzisa,make use of
pheka,male cook
indoda,man
ilimeniyu,manager
umango,mango
"-ningi, ningi",many
imephu,map
ukuhamba,march
insangu,marijuana
ujamu,marmelade
umakhonya,master
"indaba, ngabe",matter
uMeyi,may
ngabe,maybe
ngabe,mayhap
ukudla,meal
injongo,meaning
isimungumungwane,measles
inyama,meat
umakhaniki,mechanic
umuthi,medicine
ukuhlangana,meet
ukuhlangana,meeting
lilunga,member
usomabhizinizi,merchant
umbiko,message
"kwamabili, phakathi",midnight
ilimayela,mile
ubisi,milk
isigidi,million
ukuehluleka,miscarry
"-bi, -bolile, -mpofu",miserable
"inkosazana, Nkosazana",Miss
isiphosiso,mistake
ubaba,Mister
uMsombuluko,Monday
imali,money
inyanga,month
innyanga,moon
-ningi,more
ekuseni,morning
umama,mother
"ifilimu, ilifilimu",motion picture
injini,motor
isithuththu,motorcycle
intaba,mountain
ugoma,mountain range
izingoma,mountain ranges
umlomo,mouth
ibhayisikobho,movie theatre
Mnumzane,Mr.
Nkosikazi,Mrs.
umsipha,muscle
imnyuziyamu,museum
umbulo,music
ukufanele,must
umasitadi,mustard
"-mi, sami, yami",my
"igama, iligama",name
igama,name (also
ukutshela,narrate
"-bi, -bolile, -bolile",nasty
isizwe,nation
umhlobo,nationality
"iNdebele, isiNdebele",Ndebele
eduze,near
eduze,near to
eduze,nearby
intamo,neck
ukudinga,need
umakhelwane,neighbor
umakhelwane,neighbour
eNelspotho,Nelspruit
akunandaba,never mind
nokho,nevertheless
-sha,new
"iliphephandaba, inuyziphepha, iphephandaba",newspaper
-landelayo,next
-landelayo,next to
"-hle, -mnandi",nice
ngiyathokoza ukukwazi,nice to meet you
ubusuku,night
ngobusuku,night: per ~
isishiyagalolunye,nine
ishumi nesishiyagalolunye,nineteen
amashumi ayisishiyagalolunye,ninety
cha,no
ayikho indawo,no vacancies
akulona,not: it is ~
"ilithikithi, ithikithi",note
lutho,nothing
ukudla,nourishment
-sha,novel
uNovemba,november
manje,now
okwamanje,nowadays
inombolo,number
izinombolo,numbers
inombolo,numeral
ilisistela,nurse
ukuthatha,obtain
ukuenzeka,occur
"ilithuba, ithuba",occurence
"ilithuba, ithuba",occurernce
ulwandle,ocean
ihora,o'clock
uOktoba,october
ukuazisa,offer
ihhovisi,office
ingane,offspring
kaningi,often
uowoyela,oil
"-hle, kahle, kulungile",okay
-dala,old
ikhehla,old man
"ibhasi, ilibhasi",omnibus
phezu kwa-,on
kanye,once
"kunye, ukunye",one
ikhulu,one hundred
isigidi,one million
inkulungwane,one thousand
uanyanisi,onion
"-dwa, kuphela",only
sivuliwe,open
isisebenzi,operative
noma,or
iliwolintshi,orange
-nye,other
ukufanele,ought to
sethu,our
phandle,out
phandle,outside
lapho,over there
ukuedlula,overtake
