English,Other
bosniaherzegovina,Bosnia-Herzegovina ; Bosna i Hercegovina
bosnian,"Bosnian ; Bosanac, bosanski"
bosnian cafe,Bosnian cafe ; bosanska kavana
bostonians,Bostonians ; Bostonci
botswana,Botswana ; Bocvana
bottom hole assembly,Bottom Hole Assembly ; stabilizacijski sustav
botulinum toxin,Botulinum toxin ; botulinum toksin
xmas,Božić
yule,Božić
commandments,Božje zapovjedi
bragg condition,Bragg condition ; Braggov uvjet
bragg wavelength,Bragg wavelength ; Braggova valna duljina
brahms,Brahms ; Brahms
braille alphabet,Braille alphabet ; Brailleovo pismo
brain mapping,Brain Mapping ; moždana kartografija
brain ultrasonography,Brain ultrasonography ; Ultrasonografija mozga
branch office of the embassy,Branch Office of the Embassy ; Ispostava Veleposlanstva
brand image,Brand image ; Imidž marke
bratislava,"Bratislava ; Bratislava, Bratislavi"
brazilian portuguese,Brazilian Portuguese ; brazilski portugalski
break forward link,Break forward link ; Prekini vezu prema naprijed
bretton woods agreement,Bretton Woods agreement ; Sporazum iz Bretton Woodsa
brewster angle of incidence,"Brewster angle of incidence ; Brewsterov upadni kut, upadni kut potpune refleksije"
breccia,"Breča, kršnik"
brijuni,Brijuni ; Brijuni
brijuni national park,Brijuni National Park ; Nacionalni park Brijuni
bring me,Bring me ; Donesite mi
britisher,"Britanac, Englez"
british,"Britanci, Englezi, britanski"
british standards institute,"British Standards Institute ; britanski institut za normizaciju, britanski institut za standarde"
british west indies,British West Indies ; Britanska Zapadna Indija
brittany,Brittany ; Bretanja
bronchus tumor,Bronchus tumor ; tumor bronha
bronze age,Bronze Age ; Brončano doba
brownian motion,Brownian motion ; Brownovo gibanje
brownian movement,Brownian movement ; Brownovo gibanje
bruckner,Bruckner ; Bruckner
bruges,Bruges ; Bruges
brunei,Brunei ; Brunej
brunei darussalam,Brunei Darussalam ; Brunej Darussalam
brussels,"Brussels ; Bruxelles, Bruxellesu"
brussels region,Brussels region ; Briselska regija
brussels sprouts,"Brussels sprouts ; kelj pupčar, prokulica"
bruxelles,Bruxelles ; Brisel
bubnov galerkin method,Bubnov Galerkin method ; Bubnov-Galerkinova metoda
bucharest,"Bucharest ; Bukurešt, Bukureštu"
budapest,"Budapest ; Budimpešta, Budimpešti"
buddhism,Buddhism ; budizam
bulgarian,"Bugarka, bugarin ; Bulgarian ; bugarski"
bulgaria,"Bulgaria ; Bugarska, Bugarske"
bunjevci of primorje,Bunjevci of Primorje ; primorski Bunjevci
bureau of standards,Bureau of Standards ; Zavod za standardizaciju
bureau of statistics,Bureau of Statistics ; Zavod za statistiku
bureau of the ep,Bureau of the EP ; Ured Europskoga parlamenta
burgenland,Burgenland ; Gradišće
burgenland croats,Burgenland Croats ; Gradišćanski Hrvati
burgundy,Burgundy ; Burgundija
burma,Burma ; Burma
burmese,"Burmanac, Burmanka, burmanski"
bus terminal,Bus Terminal ; autobusni kolodvor
business administration school,Business Administration School ; Visoka poslovna škola s pravom javnosti
business education department,Business Education Department ; Sektor za poslovno obrazovanje
business communication systems,Business communication systems ; poslovni komunikacijski sustavi
business decision making,Business decision making ; Poslovno odlučivanje
business internationalisation,Business internationalisation ; Internacionalizacija poslovanja
business process reingeneering,Business process reingeneering ; reinženjering poslovnih procesa
buzet dialect group of speeches,Buzet dialect group of speeches ; skupina govora buzetskoga dijalekta
byzantine,"Byzantine ; bizantski, bizantskog, bizantskom"
byzantine art,Byzantine art ; Bizantska umjetnost
byzantine rule,Byzantine rule ; bizantska vlast
byzantines,"Byzantines ; Bizant, Bizanta, bizantinske, bizantinski"
c computer language,C computer language ; programski jezik C
c language,"C language ; programski jezik C ; C++ language ; objektno usmjereni programski jezik, programski jezik C++"
c notched noise,C notched noise ; C-urezani šum
cmessage,C-message ; C-poruka
cmessage noise,C-message noise ; šum C-poruke
cmessage weighting,"C-message weighting ; mjerenje C poruka, mjerenje šuma u telefonskom kanalu"
cacm,CACM ; CACM
cacm countries,CACM countries ; zemlje CACM-a
caeeu,CAEEU ; CAEEU
caeeu countries,CAEEU countries ; zemlje CAEEU
cam systems,CAM systems ; CAM sustavi
